no,constituency,mla,party,alliance,reserved,district
44,Triveniganj,Veena Bharti,JD(U),NDA,SC,
45,Chhatapur,Neeraj Kumar Singh,BJP,NDA,,
46,Narpatganj,,,,,
47,Raniganj,Achmit Rishidev,JD(U),NDA,SC,
48,Forbesganj,Vidya Sagar Keshri,BJP,NDA,,
49,Araria,Avidur Rahman,INC,MGB,,
50,Jokihat,Mohammed Shahnawaz Alam,RJD,MGB,,
51,Sikti,Vijay Kumar Mandal,BJP,NDA,,
52,Bahadurganj,,,,,
53,Thakurganj,Saud Alam,RJD,MGB,,
54,Kishanganj,Ijaharul Hussain,INC,MGB,,
55,Kochadhaman,Muhammad Izhar Asfi,RJD,MGB,,
56,Amour,,,,,
57,Baisi,Syed Ruknuddin Ahmad,RJD,MGB,,
58,Kasba,Md Afaque Alam,INC,MGB,,
59,Banmankhi,Krishna Kumar Rishi,BJP,NDA,SC,
60,Rupauli,Bima Bharti,JD(U),NDA,,
61,Dhamdaha,Leshi Singh,JD(U),NDA,,
62,Purnia,Vijay Kumar Khemka,BJP,NDA,,
63,Katihar,,,,,
64,Kadwa,Shakeel Ahmad Khan,INC,MGB,,
65,Balrampur,Mahbub Alam,CPI(ML)L,MGB,,
66,Pranpur,Nisha Singh,BJP,NDA,,
67,Manihari,Manohar Prasad Singh,INC,MGB,ST,
68,Barari,Bijay Singh,JD(U),NDA,,
69,Korha,Kavita Devi,BJP,NDA,SC,
70,Alamnagar,,,,,
71,Bihariganj,Niranjan Kumar Mehta,JD(U),NDA,,
72,Singheshwar,Chandrahas Chaupal,RJD,MGB,SC,
73,Madhepura,Chandra Shekhar Yadav,RJD,MGB,,
74,Sonbarsha,,,,SC,
75,Saharsa,Alok Ranjan Jha,BJP,NDA,,
76,Simri Bakhtiarpur,Yusuf Salahuddin,RJD,MGB,,
77,Mahishi,Gunjeshwar Sah,JD(U),NDA,,
78,Kusheshwar Asthan,,,,SC,
79,Gaura Bauram,Swarna Singh,BJP,NDA,,
80,Benipur,Binay Kumar Choudhary,JD(U),NDA,,
81,Alinagar,Mishrilal Yadav,BJP,NDA,,
82,Darbhanga Rural,Lalit Kumar Yadav,RJD,MGB,,
83,Darbhanga,Sanjay Saraogi,BJP,NDA,,
84,Hayaghat,Ram Chandra Prasad,BJP,NDA,,
85,Bahadurpur,Madan Sahni,JD(U),NDA,,
86,Keoti,Murari Mohan Jha,BJP,NDA,,
87,Jale,Jibesh Kumar,BJP,NDA,,
88,Gaighat,,,,,
89,Aurai,Ram Surat Rai,BJP,NDA,,
90,Minapur,Munna Yadav,RJD,MGB,,
91,Bochahan,Musafir Paswan,VIP,NDA,SC,
92,Sakra,Ashok Kumar Choudhary,JD(U),NDA,SC,
93,Kurhani,Anil Kumar Sahni,RJD,MGB,,
94,Muzaffarpur,Bijendra Chaudhary,INC,MGB,,
95,Kanti,Mohammad Israil Mansuri,RJD,MGB,,
96,Baruraj,Arun Kumar Singh (politician),BJP,NDA,,
97,Paroo,Ashok Kumar Singh,BJP,NDA,,
98,Sahebganj,Raju Kumar Singh,BJP,NDA,,
99,Baikunthpur,,,,,
100,Barauli,Rampravesh Rai,BJP,NDA,,
101,Gopalganj,Subhash Singh,BJP,NDA,,
102,Kuchaikote,Amrendra Kumar Pandey,JD(U),NDA,,
103,Bhore,Sunil Kumar,JD(U),NDA,SC,
104,Hathua,Rajesh Kumar Singh,RJD,MGB,,
105,Siwan,,,,,
106,Ziradei,Amarjeet Kushwaha,CPI(ML)L,MGB,,
107,Darauli,Satyadeo Ram,CPI(ML)L,MGB,SC,
108,Raghunathpur,Hari Shankar Yadav,RJD,MGB,,
109,Daraunda,Karanjeet Singh,BJP,NDA,,
110,Barharia,Bachcha Pandey,RJD,MGB,,
111,Goriakothi,Devesh Kant Singh,BJP,NDA,,
112,Maharajganj,Vijay Shanker Dubey,INC,MGB,,
113,Ekma,,,,,
114,Manjhi,Satyendra Yadav,CPI(M),MGB,,
115,Baniapur,Kedar Nath Singh,RJD,MGB,,
116,Taraiya,Janak Singh,BJP,NDA,,
117,Marhaura,Jitendra Kumar Ray,RJD,MGB,,
118,Chapra,C. N. Gupta,BJP,NDA,,
119,Garkha,Surendra Ram,RJD,MGB,SC,
120,Amnour,Krishan Kumar Mantoo,BJP,NDA,,
121,Parsa,Chhote Lal Ray,RJD,MGB,,
122,Sonpur,Ramanuj Prasad Yadav,RJD,MGB,,
123,Hajipur,,,,,
124,Lalganj,Sanjay Kumar Singh,BJP,NDA,,
125,Vaishali,Siddharth Patel,JD(U),NDA,,
126,Mahua,Mukesh Raushan Yadav,RJD,MGB,,
127,Raja Pakar,Pratima Kumari,INC,MGB,SC,
128,Raghopur,Tejashwi Yadav,RJD,MGB,,
